,date,content,title,score
18,2021-09-17 10:47:30,"A prometida biometria do celular (digital) não está funcionando!🤨
Sempre pede a senha e validação.",Biometria,2
19,2021-09-17 02:06:18,Ótimo,Exatamente,2
20,2021-09-10 14:34:38,"Muito complicado para enviar requerimento s, especialmente para os aposentados que estão fora do dia a dia com os sistemas operacionais.",Sistema não amigável,2
21,2021-08-27 14:05:23,"Tem gente reclamando que não consegue validar a biometria. E eu, quem nem consigo criar uma conta no App??!! Fraquinho.",Não funciona,2
22,2021-08-06 01:12:27,"Já tentei de todas maneiras , luz natural mudança de local. Fui ao banco e fiz a prova de vida. Agora estão me cobrando. J Ivan",Foto,2
23,2021-07-26 15:08:45,É prático mas não consegui validar o reconhecimento facial “no momento”!?!?,AVALIAÇÃO DO APLICATIVO,2
24,2021-07-21 15:40:52,Onde está a opção para idoso fazer a prova de vida? Fiz o cadastro mas não tem opção da prova de vida! Péssimo app,Prova de vida,2
25,2021-07-20 19:23:58,"Nao recebo o codigo para verificação em duas etapas. Nem no celular,nem no email. Como proceder?",Nao recebo o codigo,2
26,2021-07-17 10:42:15,"Identificação bem complicada.
O sistema exige diversas “rotações “ de cabeça para direita e para esquerda, sorrir etc etc , no final não fecha a identificação !   …. O processo ainda precisa melhorar",Deixa a desejar,2
27,2021-07-15 08:17:57,"Não funciona com a biometria do título eleitoral, eu não tenho CNH, isso torna impossível fazer o cadastro da biometria facial.
Por quê vocês dizem que dá pra fazer pela biometria do título? Já tentei 500 vezes, UFA!!!",Péssimo,2
28,2021-07-05 20:27:56,"O aplicativo era ótimo, até mês passado que tento entrar e não enviam o código pro meu celular da verificação de duas etapas. Já entrei em contato com o suporte, mas não adianta. Uma ferramenta que era para dar mais segurança pra conta está impedindo até a própria dona de entrar aiai",Código de verificação de duas etapas nunca chega,2
29,2021-07-01 22:25:34,"A avaliação facial para entrar no aplicativo necessita de modernização, a fim de ficar como acontece no Iphone. Da forma que está não é boa.",Precisa modernizar,2
30,2021-06-30 16:50:06,Não consegui concluir a biometria facial. Repeti in,Biometria Facial,2
31,2021-06-24 02:14:35,"Na descrição do app, diz que o usuário terá acesso à CNH e, posteriormente, a outros documentos. No entanto, a única que aparece é o meu CPF. Acabou sendo de pouca utilidade.",Não dá acesso à CNH,2
32,2021-06-15 16:45:34,"A turma de TI aí não consegue arrumar o APP para q a validação facial seja feita apenas uma vez??
Pq a cada acesso ao APP fica solicitando novamente a validação facial q já havia sido validada em acesso anterior???",Qual a dificuldade??,2
33,2021-06-07 20:27:18,Trava muito,Prova de vida,2
34,2021-06-03 13:32:47,"A biometria não funciona, já estou com o pescoço doendo de tanto virar pra esquerda e direita.",Biometria não funciona,2
35,2021-06-01 19:25:24,"Se o e-mail está incorreto, recebo a mensagem em endereço errado. Não pede e explica como alterar o cadastro.
A resposta não responde a pergunta. Se quero recuperar a senha e a informação em resposta vem por e-mail e o e-mail está errado / não atual, fico sem poder alterar!",Falha no processo recuperação senha,2
36,2021-05-31 15:19:06,Validação facial é ridícula!,Péssimo!,2
37,2021-05-27 14:03:18,"Péssimo o aplicativo. Vire à direita, minha direita que estou com a câmera na mão, ou a direita do outro lado da câmera. Fiz no mínimo 60 tentativas. Minha foto está no aplicativo, mas informa que não corresponde. Não entendi.",Reconhecimento facial,2
38,2021-05-26 22:29:05,"Não estou dando conta de cadastrar meu CPF 
Conta q já foi cadastrado",Reclamação,2
39,2021-05-26 13:55:28,Já tentei fazer a prova de vida por reconhecimento cerca de 20 vezes sem sucesso!,A centralização é muito sensível,2
40,2021-05-26 01:26:15,Ruim,Foto saiu ruim,2
41,2021-05-26 00:44:08,A identificação facial não funciona. Toda vez que acessa o App tem que ficar tirando um monte de foto. Isso nunca foi reconhecimento facial !!! Reconhecimento facial funciona reconhecendo traços do rosto cadastrado uma única vez e não TODA VEZ que acessa o programa. Precisa melhorar bastante a área de acesso.,Ruim,2
42,2021-05-25 14:56:40,"Além do app não permitir a troca da foto, toda vez que abro o app, pede pra digitar cpf e senha, mesmo tendo autorizado o reconhecimento facial/biométrico. Acaba se tornando um grande contratempo ter que ficar digitando toda hora as mesmas coisas.
Além disso, se o app ficar em segundo plano por pouco tempo, ele desloga e tem que fazer o mesmo processo novamente.",App não permite troca da foto,2
43,2021-05-17 17:39:33,Muito confuso e demorado,Cadastro,2
44,2021-05-17 13:36:49,Não tem como prosseguir para a validação fácil sem ter uma CHN e isso não é um documento de importância que todo cidadão tenha...,Decepcionante,2
45,2021-05-15 02:41:21,Muito dificil a validaçao da foto. Varias tentativas sem sucessop,Foto,2
46,2021-05-14 20:50:07,"Boa noite- Foram muitas tentativas para fazer a captura da imagem, acho necessário implantar um sistema mais moderno. Grato 👍",Biometria,2
47,2021-05-14 12:49:34,"A biometria facial não funciona de forma alguma, tem mais de 20 dias que tento fazer e não reconhece de jeito nenhum! Já tentei de diversas formas e nada. Já cansei! Facilitar a vida pra que né?",Biometria não funciona,2
48,2021-05-12 12:52:29,Muito ruim. Lenta. Temos que fazer muitas vezes.,Captura de imagem,2
49,2021-05-05 20:35:20,"Recebi mensagem que vão desativar o SIGEPE, mas nesse novo aplicativo não tem informação alguma como contracheque, período de férias, carteira funcional! Quando vão migrar essas informações?",Onde estão as informações do servidor?,2
50,2021-05-04 18:19:58,"Quando consegue chegar em tire sua foto, depois de girar piscar e sorrir aperta na câmera e... o aplicativo tranca.",Biometria péssima,2
51,2021-04-30 21:04:40,Tentei por diversas vezes fazer...depois de muitas tentativas eu consegui.,Avaliação biométrica ineficiente,2
52,2021-04-29 14:54:15,"Infelizmente o App diz que já estou cadastrado sendo que está sendo a primeira vez que estou cadastrando, sem ter senha e nada, e depois de um tempo fala aparece a mensagem dizendo que o tempo expirou ou houve algum erro de sistema...",Erro de cadastro,2
53,2021-04-26 19:12:32,Apesar de conexão rápida o app é muito lento,Extremamente lento,2
54,2021-04-24 09:48:49,A validação é muito ruim. Toda vez que fecho aplicativo tem que fazer todo processo de validação novamente.,A validação é horrível,2
55,2021-04-21 15:54:50,"Muito difícil gravar a validação biométrica, poderia ter outra opção de acesso sem a validação facial",Validação biométrica impossível,2
56,2021-04-19 11:52:14,Validação facial muito complicada,001660642003,2
57,2021-04-18 01:49:09,Falha muito,Muito complicado,2
58,2021-04-16 00:30:29,"Eu troquei de celular e não consigo mais acessar pelo celular novo, já verifiquei a senha e está certa. O que devo fazer?",Ativar outro celular,2
59,2021-04-13 17:43:02,Essa verificação facial é muito ruim. Quando estou de barba não acesso de jeito nenhum. Poderiam mudar pra biometria ou verificação em duas etapas. Confirmar um e-mail recebido com um código de acesso ou outro tipo de confirmação.,Verificação facial..,2
60,2021-04-11 01:30:30,Jr,Romildo,2
61,2021-03-29 18:37:25,Ótimo,Leny S Lima,2
62,2021-03-25 13:49:51,"Ao cadastrar a verificação em duas etapas é necessário colocar o código mostrado no app meu gov sempre que for entrar no gov.br, porém o app não fica logado e para conseguir o código até para entrar no app é preciso logar. Não tem como utilizar configuração em duas etapas se o aplicativo do código para autenticação também precisa deste código para ser acessado.",Verificação em duas etapas,2
63,2021-03-22 21:28:14,"Não lê o qrcode do site. Não completa nunca a validação facial. Tem que voltar este lixo pra oficina. Só perdi tempo tentando.

Depois de muito consegui validar a foto. Der repente ele perdeu as configurações e pede para validar novamente.  Depois de muitas tentativas ele valida e quando tento entrar ele não salvou nada. Pede pra fazer tudo novamente.",Lixo puro,2
64,2021-03-19 18:20:22,"“Autenticação via QR Code do site gov.br...”. Mas como se obtém esse tal QR Code?  Fiz login e procurei em todos os cantos, mas não encontrei. 
Reconhecimento facial: aquela encrenca de sempre! (Preciso falar algo sobre isso?)
Porque não usam sistemas mais eficientes, como a autenticação de identidade via contas bancárias ou via conselhos profissionais?",Sofrível,2
65,2021-03-17 13:52:43,Será que é só comigo que não funciona?,Não funciona,2
66,2021-03-12 18:46:03,"Horrível !!! Faz umas duas horas q estou tentando e não consigo cadastrar no celular , não encontro o tal QR Code , eita Brasilzão de meu Deus !!!",Ruim de maissss,2
67,2021-03-11 16:27:39,"Muita dificuldade na obtenção.

Cidadão comum pergunta:
Por que não usar os dados biométricos do título de eleitor? 

Essa avaliação para deficientes físicos é impossível de ser realizado com sucesso.

Mais desserviço ao contribuinte/eleitor.",Biometria,2
68,2021-02-26 17:34:07,"Muito ruim 
A foto nunca é validada
Alem disso precisa colocar os dados todas as vezes q tenta entrar no App
Não sei se minha prova de vida foi validada",Péssimo,2
69,2021-02-26 15:08:46,"Péssimo app já na entrada, fui cadastrar minha mãe idosa no app e ele pede a CNH, minha mãe nunca teve uma cnh, quem criou o app acha que todos os idosos dirige?",Péssimo app,2
70,2021-02-26 13:58:41,Impossível fazer esse tipo de reconhecimento. Depois de 16 tentativas eu desisti.,Reconhecimento facial,2
71,2021-02-24 17:47:37,"Obrigado, apesar da demora, estamos usando a tecnologia a favor do cidadão!",Satisfação,2
72,2021-02-13 22:42:40,Tive que refazer por várias vezes o processo! ...,Demorado,2
73,2021-02-04 14:54:22,"Certamente muitos terão dificuldades em efetuar essa operação digitalmente.
Estes serviços normalmente são desenvolvidos por pessoas com profundo conhecimento de informática, porém não avaliam os seus trabalhos com usuários de diferentes graus de conhecimento de informática, principalmente os mais idosos, que mal sabem diferenciar uma ligação no celular, se é por whatsapp ou celular por ooeradora.",Não é prático,2
74,2021-02-03 23:33:48,"É muito complicado para fazer o reconhecimento facial, é pouco tempo para que ele reconheça e realizar os comandos. Portanto é preciso ser mais pausado e maior tempo realizá-lo.",Foto,2
75,2021-02-01 15:28:34,O tempo de validação para os movimentos é muito curto para os idosos que tem limitações de movimento e entendimento fazer tais requisições. Fica cansativo para o idoso sem contar que gera uma ansiedade neles por não conseguirem. Peço que melhorem para os velhinhos poderem fazer sua prova de vida com segurança e não terem que se deslocarem de casa.,Ruim para idosos,2
76,2021-02-01 02:23:00,"O app é bom e veio em boa hora. Porém ao fazer a validação facial apresentou vários erros. Depois de muito tempo pegou uma imagem toda errada do meu rosto e colocou no meu CPF digital. Pq não tem a opção de mudar a foto? Depois que a foto é inserida no documento não tem como voltar atrás? Corrijam isso. Agora meu documento oficial tem uma foto que não tem nada a ver. Não deveria ser o contrário, ou seja, a foto deveria realmente aparecer o rosto bem nítido, não? Validação facial não deveria estar junto da foto oficial do documento, são coisas completamente diferentes no mundo digital. 

Pessoas mais velhas terão sérios problemas para lidar com esse app.",Foto e reconhecimento facial,2
77,2021-01-24 15:45:55,"Só serve pra criar falsa expectativa pois ao invés de simplificar nossa vida em tempos de pandemia fica dando erro e te induz a deslocar ao atendimento público causando aglomeração.
Resumindo não serve para nada só pra tomar o seu tempo.",Falsa expectativa,2
78,2021-01-22 11:19:25,"Validação facial , deveria ser mais acessível, principalmente para quem é de idade avançada, que têm dificuldade em manipular um celular. 
Outra: para cadastrar-se no site também é muito complicado.",Dificuldade,2
79,2021-01-21 15:36:51,Ao cabo o após não funciona! Passei uma manhã tentando mas não consegui fazer a biometria facial! O suporte tem que melhorar o serviço!,Impossível,2
80,2021-01-18 23:19:22,Aplicativo de validação facial muito ruim. Não captura a imagem com rapidez.,Reconhecimento Facial,2
81,2021-01-17 22:40:50,Simplesmente não funciona.,Validação biométrica,2
82,2021-01-16 21:09:39,"São muitos detalhes:
1. Encontrar a distância certa
2. Ao virar o rosto, vc não sabe se saiu do foco
3. Vc não sabe se o tempo acabou...

Tive q tentar quase 10x para conseguir!!!!",Difícil usar o reconhecimento facial!,2
83,2021-01-14 18:58:31,"É preciso mais tempo, uma pessoa que sofreu um AVC não assimila rapidamente os comandos vire para a esquerda sorria, (piscar? Quase um abuso com a pessoa)",Reconhecimento facial,2
84,2021-01-13 00:25:23,"Apertei para não aceitar a câmera, mais para continuar tem q aceitar como faço para aceitar agora não consigo mudar mais isso",Dúvida,2
85,2021-01-03 07:55:32,"Já tentei inúmeras vezes e mesmo assim não consigo, sempre diz que já tenho cadastro! O e-mail apresentado é o meu, porém não tenho mais acesso a ele. Preciso de ajuda.",Não consigo acesso.,2
86,2020-12-14 16:01:58,"Não consigo sequer acessar o app. Utilizo meu cpf e senha que acesso o portal gov.br, mas é pedido o reconhecimento facial. Fiz o procedimento conforme solicitado, mas diz que não foi possível realizar o reconhecimento facial. Dá a opção de escanear o qrcode no site, mas não consigo encontrar em lugar nenhum esse código. Bastante complicado o acesso.

Atualização: encontrei como gerar o qrcode, escaneio e a tela do app começa a piscar e não vai pra lugar algum.",Não consigo acessar,2
87,2020-11-20 18:31:29,"Tenho cadastro biométrico feito para a CNH e título de eleitor, já tentei verificação biométrica por vários dias e sempre a mesma resposta: cadastro biométrico não encontrado, não foi possível realizar sua validação fácil, como solucionar?
Gostaria de Feedback apesar de não estar fazendo elogios ao desenvolvedor.
Oba: não sofri nenhuma intervenção cirúrgica facial",Verificação biométrica invalida,2
88,2020-11-18 17:22:42,"Aplicativo não permite trocar a foto e não avisa que a foto é para o perfil, quando pede para tirar.",Foto,2
89,2020-10-15 19:33:38,"Na primeira vez que cadastrei foi tudo perfeito, já na hora da selfie tirei uma foto rápida e não ficou legal  e infelizmente não pode atualizar.",Mudar foto do perfil,2
90,2020-10-15 01:15:27,Tentei muitas vezes fazer minha prova de vida e sem sucesso. Terei que ir a uma agência com toda essa pandemia.,App não bom,2
91,2020-10-08 13:34:19,Estou tendo dificuldades em recuperar a conta que eu nem sabia que já tinha rsrs. Alguém pode me ajudar ?,Recuperação de conta,2
92,2020-10-06 18:23:45,"Não consigo nem cadastrar e nem logar, fica dando erro e pedindo pra eu confirmar q eu n sou um robô mesmo eu confirmando, ou fica aparecendo “not found” quando eu clico pra avançar",Erro,2
93,2020-10-05 18:12:57,"Já fiz várias tentativas para reconhecimento facial, mas nunca é possível.",Sem condições,2
94,2020-10-05 13:52:10,"A ideia é ótimo, a execução nem tanto...",App está com Bug,2
95,2020-09-30 19:55:58,"O App parece bom, porém tudo acontece de forma rápida, sem falar que a foto fica horrível, borrada e toda vez que você abre, está lá a foto borrada e nem tem como trocar depois da validação.. 

Seria ótimo poder simplesmente trocar a foto depois de validar! Nem da pra me reconhecer..",Ajustes na foto por favor!,2
96,2020-09-24 00:37:12,Faço tudo como pede mas nunca da certo,Muito difícil,2
97,2021-08-16 13:50:35,"Falta de opção no aplicativo pois eu ao invés de autorizar o aplicativo para a prova de vida, acabei apertando errado e neguei, e agora eu não consigo mais desfazer, já tentei até desinstalar e reinstalar o aplicativo mas não deu certo.              O que eu poderia fazer para resolver? Não quero ter que ficar indo ao banco, se agora possuo esta facilidade do app.",Prova de vida,2
98,2020-07-01 15:27:27,"Nunca tinha ouvido falar desse app e já tenho cadastro,como? Sendo q nunca fiz!
Contato e e-mail não são meus...
Como recuperar e refazer o cadastro?
Mas com meus dados !",Preciso de ajuda,2
99,2020-08-27 16:28:53,Não consigo trocar a senha pois sempre que aperto pra ler QR code ele da falha,Toda vez que aperto pra fazer validação diz que o controle remoto está fora do sistema,2
100,2020-08-25 02:03:30,"Baixei o App ai botei meu CPF e fui para criar já tem uma conta cadastrada com meu CPF sendo que o email e o número de celular nem é os meus!
Como posso fazer pra recuperar meu CPF no aplicativo?",Preciso de ajuda,2
101,2020-08-01 08:37:26,"Creio que cai num golpe, na tentativa em acender o app inserir meus dados, autorizei o uso deles, e em seguida no processo de fazer as Fotos depois de três tentativas mau sucedidas estou em pânico. Creio que o aplicativo serve apenas para recolher nossas informações para outros fins. É muito triste.",Será que é um golpe?,2
